cliid,gender,birth_date,marz_id,phone,mobile_operator,email
47,Male,1989-01-01,1,37477217803,VivacellMTS,iwg308@icloud.com
156,Male,1998-03-01,10,37499710291,Beeline,lay756@mail.ru
315,Male,1991-07-01,1,37455970302,Ucom,vmw387@mail.ru
342,Male,1984-08-01,2,37477230704,VivacellMTS,wpx393@mail.ru
379,Male,1985-09-01,1,37499592375,Beeline,lam532@mail.ru
388,Male,1994-09-01,1,37455318547,Ucom,nyh686@gmail.com
394,Male,1999-09-01,10,37477538814,VivacellMTS,dvr134@list.ru
548,Male,1983-01-02,0,37477694806,VivacellMTS,bsx175@mail.ru
585,Male,1993-02-02,8,37477829901,VivacellMTS,llx991@gmail.com
671,Male,1994-05-02,2,37499960671,Beeline,kjh985@list.ru
703,Male,1994-07-02,10,37477076195,VivacellMTS,krt924@mail.ru
765,Male,1983-10-02,1,37477742407,VivacellMTS,win877@list.ru
835,Male,1998-12-02,1,37499040592,Beeline,row952@icloud.com
860,Male,2000-01-03,4,37477563584,VivacellMTS,xfv998@mail.ru
875,Male,1993-01-03,3,37455022359,Ucom,adc214@gmail.com
1056,Male,1994-09-03,9,37477078846,VivacellMTS,csb535@gmail.com
1077,Male,1988-10-03,1,37455270702,Ucom,otp773@mail.ru
1090,Male,1997-10-03,1,37477247498,VivacellMTS,gqv410@mail.ru
1102,Male,1984-11-03,6,37477470953,VivacellMTS,pcp104@mail.ru
1104,Male,1989-11-03,4,37455638775,Ucom,bkc451@list.ru
1130,Male,1982-12-03,1,37499473027,Beeline,skw272@gmail.com
1137,Male,1985-12-03,11,37455708118,Ucom,htl457@mail.ru
1209,Male,1996-06-04,2,37477516907,VivacellMTS,oav113@gmail.com
1332,Male,1993-07-04,1,37455225440,Ucom,vvg144@mail.ru
1533,Male,1993-05-04,3,37477491939,VivacellMTS,nky659@bk.ru
1738,Male,1992-10-05,2,37477322214,VivacellMTS,rno398@mail.ru
1800,Male,1998-12-05,1,37477608059,VivacellMTS,sjo531@mail.ru
1818,Male,1994-06-05,1,37477545322,VivacellMTS,jxt526@gmail.com
1878,Male,1993-02-06,1,37477501565,VivacellMTS,tmo832@mail.ru
1921,Male,1989-04-06,1,37499371961,Beeline,hyb315@gmail.com
2044,Male,1991-09-06,1,37499820690,Beeline,uuk375@mail.ru
2099,Male,1991-11-06,1,37455861606,Ucom,ves244@gmail.com
2112,Male,1999-11-06,3,37477664204,VivacellMTS,qxk106@gmail.com
2116,Male,1972-12-06,10,37477465501,VivacellMTS,zms978@mail.ru
2146,Male,1994-06-06,0,37499040527,Beeline,tvc197@mail.ru
2241,Male,1985-04-07,11,37477119970,VivacellMTS,uex344@gmail.com
2296,Male,1996-04-26,9,37477732953,VivacellMTS,jhe546@gmail.com
2354,Male,1996-08-07,11,37477984552,VivacellMTS,xth187@gmail.com
2365,Male,1985-09-07,1,37499511911,Beeline,lts102@gmail.com
2374,Male,1992-09-07,9,37477238353,VivacellMTS,txq222@mail.ru
2400,Male,1992-10-07,1,37477493588,VivacellMTS,pze710@mail.ru
2509,Male,1992-01-08,1,37499761336,Beeline,goy703@inbox.ru
2590,Male,1963-04-08,1,37499618421,Beeline,lmq545@mail.ru
2721,Male,1997-09-08,6,37477937870,VivacellMTS,rwm393@mail.ru
2755,Male,1982-11-08,1,37477151217,VivacellMTS,inz430@gmail.com
2794,Male,1996-12-08,1,37477143641,VivacellMTS,qhr580@mail.ru
2930,Male,1989-05-09,1,37499711995,Beeline,nhm173@mail.ru
2933,Male,1991-05-09,1,37477088065,VivacellMTS,lbf197@mail.ru
3088,Male,1988-12-09,0,37497259662,KharabakhTelecom,nhe593@mail.ru
3098,Male,1998-12-09,1,37455801171,Ucom,zex939@list.ru
3106,Male,1981-06-09,0,37477860315,VivacellMTS,piy210@list.am
3156,Male,1995-01-10,10,37477195469,VivacellMTS,eyy168@mail.ru
3181,Male,1991-02-10,1,37477971883,VivacellMTS,mdr557@bk.ru
3198,Male,1975-03-10,0,37499173384,Beeline,xnm504@mail.ru
3250,Male,1998-04-10,1,37499648556,Beeline,ryo525@mail.ru
3298,Male,1978-08-10,4,37477703999,VivacellMTS,dzw869@mail.ru
3400,Male,1992-05-01,1,37477341417,VivacellMTS,jpy235@mail.ru
3403,Male,1998-09-02,1,37455986043,Ucom,qni183@mail.ru
3630,Male,1994-11-10,10,37477429925,VivacellMTS,rmk288@gmail.com
3743,Male,1992-03-11,1,37499284127,Beeline,yla335@mail.ru
3753,Male,1999-03-11,1,37499990747,Beeline,iiu606@mail.ru
3770,Male,1994-04-11,5,37477977358,VivacellMTS,nnz293@list.ru
3821,Male,1996-07-11,1,37499481160,Beeline,xxh245@mail.ru
3856,Male,1987-09-11,1,37499369650,Beeline,bxk601@mail.ru
4131,Male,1999-07-12,1,37477917796,VivacellMTS,vzy850@mail.ru
4147,Male,1988-08-12,3,37477785125,VivacellMTS,osb801@mail.ru
4152,Male,1992-08-12,1,37477130505,VivacellMTS,bvy311@gmail.com
4188,Male,1984-10-12,5,37455591634,Ucom,xpk750@mail.ru
4241,Male,1987-12-12,0,37477091389,VivacellMTS,tqs214@mail.ru
4296,Male,2000-05-20,0,37477668543,VivacellMTS,jox897@inbox.ru
4420,Male,1998-05-13,10,37477769667,VivacellMTS,hnm884@mail.ru
4442,Male,1996-07-13,4,37477657906,VivacellMTS,rxa490@gmail.com
4453,Male,1987-08-13,1,37499362498,Beeline,iyg139@mail.ru
4456,Male,1991-08-13,4,37455274487,Ucom,hwn361@gmail.com
4472,Male,1999-08-13,1,37455175395,Ucom,nwj462@internet.ru
4516,Male,1998-10-13,1,37477814058,VivacellMTS,myu124@gmail.com
4562,Male,1994-06-13,1,37477248197,VivacellMTS,jqf641@gmail.com
4633,Male,1989-03-14,11,37455231072,Ucom,ozh559@gmail.com
4655,Male,1999-03-14,6,37477917826,VivacellMTS,aey773@list.ru
4691,Male,1992-05-14,0,37477615997,VivacellMTS,ksz965@mail.ru
4797,Male,1998-09-14,0,37477759635,VivacellMTS,hbg270@mail.ru
4818,Male,1996-10-14,1,37477405149,VivacellMTS,mov583@mail.ru
4858,Male,1999-11-14,10,37477864321,VivacellMTS,jwd627@mail.ru
4923,Male,1988-06-03,1,37477392993,VivacellMTS,hic697@gmail.com
4959,Male,1999-01-15,1,37477501190,VivacellMTS,ukt531@gmail.com
4978,Male,1989-02-15,0,37477296219,VivacellMTS,bux424@gmail.com
4983,Male,1993-02-15,6,37477780341,VivacellMTS,vjo308@gmail.com
4987,Male,1998-02-15,0,37477550207,VivacellMTS,wti459@mail.ru
5082,Male,1998-07-15,1,37477465648,VivacellMTS,gtn798@gmail.com
5127,Male,1990-09-15,11,37477262771,VivacellMTS,nyh901@gmail.com
5140,Male,1983-10-15,1,37455567887,Ucom,vee981@gmail.com
5196,Male,1982-06-15,1,37499728291,Beeline,igc843@mail.ru
5260,Male,1986-02-16,1,37477530067,VivacellMTS,znt594@gmail.com
5349,Male,1984-05-16,1,37499980023,Beeline,env984@mail.ru
5372,Male,1989-07-16,6,37477908278,VivacellMTS,mps576@gmail.com
5378,Male,1992-07-16,0,37477646862,VivacellMTS,vsh232@internet.ru
5481,Male,1985-11-16,1,37477419431,VivacellMTS,txk333@mail.ru
5483,Male,1987-11-16,12,37455814031,Ucom,vqk424@inbox.ru
5518,Male,1996-12-13,2,37477407589,VivacellMTS,lls195@mail.ru
5576,Male,1998-01-17,1,37499219084,Beeline,fur837@mail.ru
5640,Male,1981-04-17,0,37477702958,VivacellMTS,pfy967@mail.ru
5661,Male,1996-04-07,7,37477101415,VivacellMTS,nta526@bk.ru
5690,Male,1999-05-17,0,37477912108,VivacellMTS,ilo579@mail.ru
5714,Male,1991-07-17,1,37455450771,Ucom,vcv919@gmail.com
5715,Male,1992-12-17,6,37477537187,VivacellMTS,csk636@icloud.com
5863,Male,1995-12-17,7,37477947964,VivacellMTS,yws982@gmail.com
5869,Male,1999-12-17,6,37477687795,VivacellMTS,rxz563@mail.ru
5943,Male,1993-02-18,1,37477709922,VivacellMTS,kyz352@gmail.com
5971,Male,1993-03-18,1,37477985552,VivacellMTS,bzq227@gmail.com
6055,Male,1999-07-18,0,37477472763,VivacellMTS,qsm232@bk.ru
6108,Male,1985-10-18,1,37499910155,Beeline,bei282@mail.ru
6151,Male,1999-11-18,11,37477059069,VivacellMTS,ene893@gmail.com
6163,Male,1998-12-18,1,37499250235,Beeline,ajz764@mail.ru
6169,Male,1986-06-18,4,37477599392,VivacellMTS,nin965@gmail.com
6256,Male,1999-02-19,1,37477012838,VivacellMTS,frn679@mail.ru
6291,Male,1994-04-19,0,37477125795,VivacellMTS,pcb788@mail.ru
6296,Male,1996-04-19,1,37477913643,VivacellMTS,ycz598@gmail.com
6524,Male,1982-02-20,1,37455842685,Ucom,gej786@inbox.ru
6538,Male,1997-02-20,6,37477743712,VivacellMTS,tky537@gmail.com
6618,Male,1995-05-20,1,37499558396,Beeline,cdu449@gmail.com
6650,Male,1992-07-20,3,37455050846,Ucom,sfa209@mail.ru
6767,Male,1999-10-20,8,37477906825,VivacellMTS,efz455@icloub.com
6859,Male,1985-01-21,1,37455940824,Ucom,vyp110@mail.ru
6898,Male,1996-02-21,4,37477270172,VivacellMTS,kbd430@mail.ru
7002,Male,1991-07-21,2,37477980492,VivacellMTS,ltp485@mail.ru
7159,Male,1996-12-21,4,37477864461,VivacellMTS,ucs177@gmail.com
7278,Male,1990-04-22,0,37477774072,VivacellMTS,zcg244@mail.ru
7323,Male,1999-05-22,10,37477077887,VivacellMTS,aha744@mail.ru
7344,Male,1991-07-22,1,37477435046,VivacellMTS,fbj207@gmail.com
7388,Male,1997-08-22,2,37477206328,VivacellMTS,nxa481@bk.ru
7393,Male,2000-05-24,0,37455713999,Ucom,tav747@mail.ru
7405,Male,1986-09-22,1,37477468135,VivacellMTS,pbo316@gmail.com
